Name;Gender;Hair color;Hair length;Glasses;Hat;Mustache;Beard;Bald
Adam;Male;Brown;Long;NO;YES;YES;NO;NO
Bella;Female;Blond;Short;YES;NO;NO;NO;NO
Carla;Female;Black;Long;NO;NO;NO;NO;NO
Daniel;Male;Red;Short;NO;NO;NO;YES;NO
Ethan;Male;White;Short;YES;NO;NO;NO;YES
Fiona;Female;Brown;Short;NO;YES;NO;NO;NO
Gabriel;Male;Black;Short;NO;NO;YES;NO;NO
Holly;Female;Red;Long;NO;NO;NO;NO;NO
Ian;Male;Brown;Short;NO;YES;NO;NO;NO
Julia;Female;Blond;Short;YES;NO;NO;NO;NO
Kevin;Male;Red;Short;NO;NO;NO;NO;YES
Laura;Female;White;Long;NO;NO;NO;NO;NO
Mark;Male;Black;Short;NO;NO;YES;YES;NO
Nina;Female;Brown;Long;YES;NO;NO;NO;NO
Oscar;Male;Blond;Short;NO;NO;NO;NO;NO
Paula;Female;Red;Short;NO;YES;NO;NO;NO
Quentin;Male;White;Short;YES;NO;NO;NO;NO
Rita;Female;Blond;Long;NO;NO;NO;NO;NO
Simon;Male;Brown;Short;NO;NO;NO;YES;YES
Tara;Female;Black;Long;NO;NO;NO;NO;NO
Victor;Male;Red;Short;NO;NO;YES;NO;NO
Wendy;Female;White;Short;NO;YES;NO;NO;NO
Xavier;Male;Black;Short;YES;NO;NO;NO;YES
Yasmin;Female;Brown;Long;NO;NO;NO;NO;NO
Zack;Male;Blond;Short;NO;NO;NO;YES;NO
